#          80 : dS/dmH (fb)	 #          80 : dS/dmH (fb)
         1490.00            0.805322E-05        0.293626E-06	         1490.00            0.667711E-05        0.483967E-06
         1510.00            0.837448E-05        0.975992E-06	         1510.00            0.627578E-05        0.614929E-06
         1530.00            0.673967E-05        0.255360E-06	         1530.00            0.680589E-05        0.687004E-06
         1550.00            0.644926E-05        0.323008E-06	         1550.00            0.533645E-05        0.388642E-06
         1570.00            0.583818E-05        0.239860E-06	         1570.00            0.769824E-05        0.146267E-05
         1590.00            0.517425E-05        0.179470E-06	         1590.00            0.564032E-05        0.491473E-06
         1610.00            0.487630E-05        0.226025E-06	         1610.00            0.537590E-05        0.746085E-06
         1630.00            0.451754E-05        0.214031E-06	         1630.00            0.430537E-05        0.414444E-06
         1650.00            0.421512E-05        0.208909E-06	         1650.00            0.359945E-05        0.273689E-06
         1670.00            0.401685E-05        0.223612E-06	         1670.00            0.391713E-05        0.344470E-06
         1690.00            0.393234E-05        0.240854E-06	         1690.00            0.333921E-05        0.299434E-06
         1710.00            0.329086E-05        0.160959E-06	         1710.00            0.351066E-05        0.343074E-06
         1730.00            0.321232E-05        0.206119E-06	         1730.00            0.245181E-05        0.194998E-06
         1750.00            0.262650E-05        0.155753E-06	         1750.00            0.317805E-05        0.576873E-06
         1770.00            0.271307E-05        0.205043E-06	         1770.00            0.193835E-05        0.143744E-06
         1790.00            0.248057E-05        0.116706E-06	         1790.00            0.201641E-05        0.152276E-06
         1810.00            0.234131E-05        0.142324E-06	         1810.00            0.168169E-05        0.158700E-06
         1830.00            0.192935E-05        0.973577E-07	         1830.00            0.220912E-05        0.457001E-06
         1850.00            0.195224E-05        0.168292E-06	         1850.00            0.149350E-05        0.120417E-06
         1870.00            0.197923E-05        0.132588E-06	         1870.00            0.213073E-05        0.483392E-06
         1890.00            0.199513E-05        0.137854E-06	         1890.00            0.168297E-05        0.177267E-06
         1910.00            0.185560E-05        0.235117E-06	         1910.00            0.146778E-05        0.227433E-06
         1930.00            0.170112E-05        0.133290E-06	         1930.00            0.138593E-05        0.173767E-06
         1950.00            0.160831E-05        0.261090E-06	         1950.00            0.131766E-05        0.186215E-06
         1970.00            0.129737E-05        0.949453E-07	         1970.00            0.105348E-05        0.126360E-06
         1990.00            0.130152E-05        0.100013E-06	         1990.00            0.101103E-05        0.131068E-06
